KW1	KW2	P.value	adj.P.value	FisherP.value	ztPois.cdf	Raw.CO.Occurrence	Expansion	PMIDlist
apoptosis/drug effects	saponins/chemistry	1.13608141667498e-05	4.7336725694791e-05	0.074074074074074	0.491090027111315	1	0	[31509699]
apoptosis/drug effects	small molecule libraries/pharmacology	4.98566787854315e-09	4.50418593388634e-08	0.074074074074074	0.491090027111315	1	0	[32134361]
ascorbic acid/pharmacology	calreticulin/metabolism	0	0	0.037037037037037	0.491090027111315	1	0	[32686685]
ascorbic acid/pharmacology	ferric compounds/chemistry	1.90229000622821e-05	6.33368658790105e-05	0.111111111111111	0.491090027111315	1	0	[32686685]
ascorbic acid/pharmacology	neoplasms/diagnostic imaging	0	0	0.037037037037037	0.491090027111315	1	0	[32686685]
ascorbic acid/pharmacology	oxidative stress	7.083931083951e-07	3.69485614090969e-06	0.074074074074074	0.491090027111315	1	0	[32686685]
ascorbic acid/pharmacology	t-lymphocytes cytotoxic/metabolism	0	0	0.037037037037037	0.491090027111315	1	0	[32686685]
asparaginase	cisplatin	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]
asparaginase	diterpenes/pharmacology	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]
asparaginase	killer cells natural/metabolism	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]
asparaginase	lymphoma t-cell	3.10419946414342e-08	1.77908664941026e-07	0.037037037037037	0.491090027111315	1	0	[35778693]
asparaginase	reactive oxygen species/metabolism	0.0012446795696657	0.0020789136508493	0.102941176470588	0.5011717509037	1	1	[35778693]
asparaginase	tumor suppressor protein p53/metabolism	0.0001430031506204	0.0004284185297513	0.074074074074074	0.491090027111315	1	0	[35778693]
autophagy-related proteins/genetics	autophagy/drug effects	1.96134005804316e-05	6.48561706764557e-05	0.074074074074074	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	cell cycle/drug effects	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	flavonolignans/pharmacology	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	glutathione peroxidase/metabolism	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	glutathione/metabolism	0.0002752353370022	0.000788717862951	0.111111111111111	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	jurkat cells	0.0001347174188101	0.000411242646894	0.074074074074074	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	precursor cell lymphoblastic leukemia-lymphoma/metabolism	2.37669306457633e-09	2.23055336157649e-08	0.037037037037037	0.491090027111315	1	0	[33926261]
autophagy-related proteins/genetics	reactive oxygen species/metabolism	0.0007858745973121	0.0013687395477366	0.102941176470588	0.5011717509037	1	1	[33926261]
autophagy/drug effects	cd8-positive t-lymphocytes/drug effects	8.60452407625001e-06	3.66957644428309e-05	0.074074074074074	0.491090027111315	1	0	[33277233]
autophagy/drug effects	cell cycle/drug effects	1.96134005804316e-05	6.48561706764557e-05	0.074074074074074	0.491090027111315	1	0	[33926261]
autophagy/drug effects	endoplasmic reticulum/drug effects	8.60452407625001e-06	3.66957644428309e-05	0.074074074074074	0.491090027111315	1	0	[33277233]
autophagy/drug effects	flavonolignans/pharmacology	1.96134005804316e-05	6.48561706764557e-05	0.074074074074074	0.491090027111315	1	0	[33926261]
